FYDP Year,Type,Force,Program Number,Program Name,Project Number,Project Name,2015,2016,2017,2018,2019,2020,2021
2017,RDT&E,Air Force,0602102F,Materials,624347,"Materials for Structures, Propulsion, and Subsystems",35.119,55.665,46.444,47.094,49.233,50.271,47.597
2017,RDT&E,Air Force,0602102F,Materials,624349,Materials Technology for Sustainment,44.642,43.539,46.842,48.776,46.232,47.177,47.767
2017,RDT&E,Air Force,0602203F,Aerospace Propulsion,623048,Combustion and Mechanical Systems,11.753,11.652,10.574,10.872,11.073,11.287,11.471
2017,RDT&E,Air Force,0602203F,Aerospace Propulsion,623066,Turbine Engine Technology,55.773,63.712,52.519,56.151,56.785,57.572,58.584
2017,RDT&E,Air Force,0602203F,Aerospace Propulsion,625330,Aerospace Fuel Technology,4.806,4.847,4.502,4.633,4.716,4.81,4.889
2017,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,632480,Aerospace Fuels,2.144,2.267,2.262,2.302,2.358,2.404,2.452
2017,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,634921,Aircraft Propulsion Subsystems Int,51.389,77.791,19.757,17.902,18.194,18.539,18.909
2017,RDT&E,Air Force,0603216F,Aerospace Propulsion and Power Technology,63681B,Advanced Turbine Engine Gas Generator,8.286,24.339,12.238,12.765,21.815,22.379,22.825
2017,RDT&E,Navy,0604214N,AV-8B Aircraft - Engine Dev,652,AV-8B,24.558,27.668,33.664,39.078,32.15,23.084,17.259
2017,RDT&E,Navy,0205633N,Aviation Improvements,1355,Propulsion and Power Component Improvement Program,59.212,75.508,93.543,107.713,108.511,110.233,112.495
2017,RDT&E,Army,0601102A,Defense Research Sciences,F20,Adv Propulsion Rsch,4.054,4.161,4.22,4.29,4.368,4.452,4.541
2017,RDT&E,Army,0602211A,Aviation Technology,47B,Veh Prop & Struct Tech,7.834,8.507,9.755,10.434,10.697,10.908,11.201
2017,RDT&E,Army,0603003A,Aviation Advanced Technology,447,ACFT Demo Engines,7.975,8.216,4.947,6.091,6.145,6.268,6.393
2017,RDT&E,Army,0607139A,Improved Turbine Engine Program,ES6,Improved Turbine Engine Program,49.328,51.164,126.105,186.264,238.331,309.312,315.19
2017,RDT&E,Army,0203752A,Aircraft Engine Component Improvement Program,106,A/C Compon Improv Prog,0.372,0.364,0.259,0.145,0.148,0.146,0
2017,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program,671012,Aircraft Engine Component Improvement Program,78.674,72.603,78.293,76.747,78.283,79.902,81.479
2017,RDT&E,Air Force,0207268F,Aircraft Engine Component Improvement Program,675365,F-35,14.486,31.339,31.566,32.181,32.789,33.397,33.989
2017,RDT&E,Air Force,0602203F,Aerospace Propulsion,623012,Advanced Propulsion Technology,17.25,19.67,27.095,29.673,29.612,30.686,28.566
2017,RDT&E,Air Force,0604858F,Tech Transition Program,645350,Advanced Engine Development/Transition Prioritization,79.887,266.514,NA,NA,NA,NA,NA
2017,RDT&E,Air Force,0604858F,Tech Transition Program,645351,Advanced Engine Development/Transition Prioritization,NA,NA,285.057,410.38,518.816,592.585,603.224
