"PByear","ProgramElement","Cost.Categories","Contractor.or.Government.Performing.Activity","Contract.Method.Type.or.Funding.Vehicle","Award.or.Obligation.Date","Line","Project.Name","1997","1998","1999","2000","2001","2002","2003"
1999,603800,"Alternative Engine Program","GE, Cincinnati OH","SS/CPFF","Nov-95","2","F136",25000,29000,23000,NA,NA,NA,NA
2000,603800,"Alternative Engine Program","GE, Cincinnati OH","SS/CPFF","Nov-96","3","F136",NA,NA,NA,NA,NA,NA,NA
2000,603800,"Alternative Engine Program","GE, Cincinnati OH","SS/CPFF","Feb-97","4","F136",NA,34956,25790,33000,NA,NA,NA
2002,603800,"AUTONOMIC LOGISTICS (formerly Prognostics and Health Management / Supportability and Training)","Pratt & Whitney","C/CPFF",NA,"15","F135",NA,NA,NA,0,0,0,NA
2002,603800,"AUTONOMIC LOGISTICS (formerly Prognostics and Health Management / Supportability and Training)","General Electric","C/CPFF","Jan-99","16","F136",NA,NA,NA,0,0,0,NA
2003,603800,"AUTONOMIC LOGISTICS (formerly Prognostics and Health Management / Supportability and Training)","Pratt & Whitney","C/CPFF",NA,"16","F135",NA,NA,NA,NA,0,0,NA
2003,603800,"AUTONOMIC LOGISTICS (formerly Prognostics and Health Management / Supportability and Training)","General Electric","C/CPFF","Jan-99","17","F136",NA,NA,NA,NA,0,0,NA
2000,603800,"Award Fees","Pratt & Whitney","C/CPFF",NA,"2","F135",NA,20369,25792,16226,NA,NA,NA
2001,603800,"F-120 Engine Program","GE, Cincinnati OH","SS/CPFF","Nov 98/Ot 99/ Oct 00","2","F136",NA,NA,NA,NA,NA,NA,NA
2001,603800,"F-120 Engine Program","GE, Cincinnati OH","SS/CPFF",NA,"3","F136",NA,NA,40153,26190,94000,NA,NA
2002,603800,"F-120 Engine Program","GE, Cincinnati OH","SS/CPFF","Nov 98/Ot 99/ Oct 00","3","F136",NA,NA,NA,0,0,0,NA
2002,603800,"F-120 Engine Program","GE, Cincinnati OH","SS/CPFF",NA,"4","F136",NA,NA,NA,34710,45620,0,NA
2003,603800,"GE Engine Program","GE, Cincinnati OH","SS/CPFF",NA,"4","F136",NA,NA,NA,NA,NA,NA,NA
2003,603800,"GE Engine Program","GE","SS/CPFF","Oct-00","5","F136",NA,NA,NA,NA,111064,NA,NA
1999,603800,"Product Development Organizations: Weapon System Concept Demonstrations (Note 1):","Pratt & Whitney","SS/CPFF","Nov-96","1","F135",231619,310127,216900,NA,NA,NA,NA
2001,603800,"Product Development Organizations: Weapon System Concept Demonstrations (Note 1):","Pratt & Whitney","SS/CPFF","Nov 98/99/00","1","F135",NA,NA,212666,84200,80200,NA,NA
2002,603800,"Product Development Organizations: Weapon System Concept Demonstrations (Note 1):","Pratt & Whitney","SS/CPFF","Nov 98/99/00","1","F135",NA,NA,NA,87019,127694,0,NA
1999,603800,"Prognostics and Health Management / Supportability and Training","Pratt & Whitney","C/CPFF","Jun-97","11","F135",3920,6180,0,NA,NA,NA,NA
1999,603800,"Prognostics and Health Management / Supportability and Training","General Electric","C/CPFF","Mar-98","12","F136",0,200,2617,NA,NA,NA,NA
2001,603800,"Prognostics and Health Management / Supportability and Training","Pratt & Whitney","C/CPFF",NA,"14","F135",NA,NA,NA,NA,NA,NA,NA
2000,603800,"Prognostics and Health Management / Supportability and Training","Pratt & Whitney","C/CPFF","Jun-97","15","F135",NA,6180,NA,NA,NA,NA,NA
2001,603800,"Prognostics and Health Management / Supportability and Training","General Electric","C/CPFF","Jan-99","15","F136",NA,NA,1500,NA,NA,NA,NA
2000,603800,"Prognostics and Health Management / Supportability and Training","General Electric","C/CPFF",NA,"16","F136",NA,NA,1500,NA,NA,NA,NA
1999,603800,"Technology Maturation: Propulsion","Various","Fld. Activ.","Nov 98/99/00","10","F135",3706,13550,2200,NA,NA,NA,NA
2000,603800,"Technology Maturation: Propulsion","Pratt & Whitney","SS/CPFF","Mar-97","10","F135",NA,NA,NA,NA,NA,NA,NA
2001,603800,"Technology Maturation: Propulsion","Pratt & Whitney","SS/TBD","Dec-98","10","F135",NA,NA,1200,NA,NA,NA,NA
2002,603800,"Technology Maturation: Propulsion","Pratt & Whitney","SS/CPFF",NA,"10","F135",NA,NA,NA,0,0,0,NA
2003,603800,"Technology Maturation: Propulsion","Pratt/Whitney","SS/CPFF",NA,"10","F135",NA,NA,NA,NA,NA,NA,NA
2000,603800,"Technology Maturation: Propulsion","Pratt & Whitney","SS/TBD","12/1/1997","11","F135",NA,4600,1200,NA,NA,NA,NA
2001,603800,"Technology Maturation: Propulsion","Various","NASA Contract","Jul-99","11","F135",NA,NA,2100,NA,NA,NA,NA
2002,603800,"Technology Maturation: Propulsion","Pratt & Whitney","SS/TBD","Dec-98","11","F135",NA,NA,NA,0,0,0,NA
2003,603800,"Technology Maturation: Propulsion","Pratt & Whitney","SS/CPFF",NA,"11","F135",NA,NA,NA,NA,NA,NA,NA
