FYDP Year,Type,Force,Stage,Program Number,Program Name,Project Number,Project Name,2017,2018,2019,2020,2021,2022,2023
2019,RDT&E,Army,Advanced Technology Development,0603003A,Aviation Advanced Technology,447,ACFT Demo Engines,4.757,6.097,3.719,3.794,3.869,3.949,4.028
2019,RDT&E,Air Force,Advanced Technology Development,0603216F,Aerospace Propulsion and Power Technology,635098,Advanced Aerospace Propulsion,22.622,28.797,20.194,20.595,21.009,21.435,21.867
2019,RDT&E,Air Force,Applied Research,0602203F,Aerospace Propulsion,623012,Advanced Propulsion Technology,26.75,28.612,26.813,32.25,28.628,30.791,29.221
2019,RDT&E,Air Force,Advanced Technology Development,0603216F,Aerospace Propulsion and Power Technology,63681B,Advanced Turbine Engine Gas Generator,14.581,12.765,21.652,22.212,22.654,23.115,23.583
2019,RDT&E,Air Force,Advanced Technology Development,0603216F,Aerospace Propulsion and Power Technology,632480,Aerospace Fuels,2.054,2.302,2.34,2.386,2.434,2.483,2.532
2019,RDT&E,Air Force,Operational Systems Development,0207268F,Aircraft Engine Component Improvement Program,675365,Aircraft Engine Component Improvement Program (F135),30.526,32.274,32.557,33.163,33.738,34.438,35.065
2019,RDT&E,Army,Operational Systems Development,0203752A,Aircraft Engine Component Improvement Program,106,Aircraft Engine Component Improvement Program (USA),0.249,0.145,0.146,0.144,0,0,0
2019,RDT&E,Air Force,Operational Systems Development,0207268F,Aircraft Engine Component Improvement Program,671012,Aircraft Engine Component Improvement Program (USAF),75.523,76.969,88.646,79.342,80.879,82.558,84.061
2019,RDT&E,Navy,Operational Systems Development,0205633N,Aviation Improvements,1355,Aircraft Engine Component Improvement Program (USN),89.303,94.001,105.223,108.5,107.164,107.355,108.984
2019,RDT&E,Air Force,Advanced Technology Development,0603216F,Aerospace Propulsion and Power Technology,634921,Aircraft Propulsion Subsystems Int,17.896,17.902,18.058,18.4,18.767,19.147,19.537
2019,RDT&E,Navy,System Development & Demonstration,0604214N,AV-8B Aircraft-Engine Dev,652,AV-8B,0,0,46.363,38.735,19.671,16.878,17.215
2019,RDT&E,Air Force,Applied Research,0602203F,Aerospace Propulsion,623048,Combustion and Mechanical Systems,10.502,10.833,10.691,11.983,12.199,12.414,11.778
2019,RDT&E,Army,Operational Systems Development,0607139A,Improved Turbine Engine Program,ES6,Improved Turbine Engine Program,111.638,204.304,192.637,246.81,240.846,315.36,250.728
2019,RDT&E,Air Force,Applied Research,0602102F,Materials,624347,"Materials for Structures, Propulsion, and Subsystems",57.3,45.059,47.375,51.539,49.212,50.877,48.283
2019,RDT&E,Air Force,Applied Research,0602203F,Aerospace Propulsion,623066,Turbine Engine Technology,50.776,55.304,52.429,60.891,62.308,63.405,60.167
2019,RDT&E,Army,Applied Research,0602211A,Aviation Technology,47B,Veh Prop & Struct Tech,9.511,10.456,10.963,11.181,11.48,11.716,11.95
2019,RDT&E,Army,Basic Research,0601102A,Defense Research Sciences,F20,Adv Propulsion Rsch,4.164,3.46,3.545,3.637,3.726,3.818,3.894
2019,RDT&E,Army,Basic Research,0601102A,Defense Research Sciences,F20,Advanced Propulsion Research,4.164,3.46,3.545,3.637,3.726,3.818,3.894
,,,,,,,,,,,,,,
Stages ,,,,,,,,,,,,,,
1,Basic Research,,,,,,,,,,,,,
2,Applied Research,,,,,,,,,,,,,
3,Advanced Technology Development,,,,,,,,,,,,,
4,Advanced Component Development & Prototypes,,,,,,,,,,,,,
5,System Development & Demonstration,,,,,,,,,,,,,
6,Management Support,,,,,,,,,,,,,
7,Operational Systems Development,,,,,,,,,,,,,
