"SubCustomer.JPO","Competition.multisum","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Army","No Comp.",1448329440.56076,892773540.216339,1171572071.00475,1129658578.28256,809291555.965666,953934880.751837,1190076922.47124,938071615.248756,934627889.142504,1240465414.11008,1000135560.53729,1074327476.28034,1056426682.73632,768670799.849095,484240061.894791,272178262.63913,419713522.463202,1071564877.71732,1152421235.79674,312051413.237098,837332367.77526,517203340.4168
"Army","1 Offer",295781934.059231,74223152.0753113,217890280.237611,319178571.00595,313349690.501517,369534865.391305,102024626.297029,56696131.8727395,95930995.0943716,14912937.6746615,3145728.77896824,39709453.9585492,7978179.96435302,171169.377617428,300224.063165287,3529771.01455439,30946683.4246885,13604226.1703434,28327861.2822412,53733171.0522911,90547012.0520023,2463120.9091
"Army","2+ Offers",532277857.601734,313351717.051081,324968116.430324,305588947.906672,535077492.4952,397057039.468352,345147946.627174,146866260.178895,164356225.635371,351959088.536031,205893592.063214,112302766.698058,164018067.425273,138686340.161373,30878205.8267035,45851060.8967785,68698052.5819459,117853179.868716,174768318.944685,163440573.710776,120794367.998135,193258740.5697
"Army","Unlabeled",18224161.3921258,550719.703092508,1806649.84955132,3312212.57642957,2263366.90921362,1300571.24706024,1050708.74091074,205669.088430302,426733.440632125,248265.686970933,30399.4519492376,,,-2992.73890795181,,,,0,0,,4626933.90504486,0
"F-35 JPO","No Comp.",122970754.57855,259094541.829903,16624480.8540533,255032167.108287,58576555.2107967,278257104.819703,436148337.700938,552544671.288668,567059092.197109,502311974.978271,521362477.75231,103961063.22603,110969805.785059,77717905.3214089,633010187.561215,2455503692.10696,3526145230.34648,876296953.03046,3885532800.83741,6149867453.95031,3814510506.99708,1686331234.7344
"Navy","No Comp.",1239856417.3537,1470091153.2735,2289908967.60289,3571841137.93879,2215805560.47793,2985954315.36604,2634910928.49854,2375889466.178,2614346472.00694,2455327933.4744,1987408095.08232,2835138498.85982,3085506844.68111,3163600098.69898,2605033236.75446,1905028639.57714,1692391954.76924,1130340795.44328,1507193147.65179,1765732752.53045,1336266601.05616,1614520330.4919
"Navy","1 Offer",7608599.53704739,33299589.3442459,39269543.793731,58149844.940778,21564677.0441844,24289013.9422491,23858425.6474751,185496945.044781,416868036.777621,1109108547.0491,323164383.856398,389291793.279908,121283769.56298,203379490.057021,169250055.044371,187314861.174502,130622490.589218,105357607.583439,94934035.8567445,33559035.2918318,5724412.19563877,17718036.1929
"Navy","2+ Offers",195219781.230145,87003917.0455863,78268603.6702894,168702108.990564,69638847.2367902,107136761.816987,128710239.370683,118625525.200292,48069165.6942397,112058354.004689,113723014.315898,128316470.83526,90628866.1579729,87291733.5022713,66828520.0448764,70634859.824338,108232011.386369,145546931.936072,105281190.547946,83104479.250491,103111518.917691,107945795.2254
"Navy","Unlabeled",215215.540069732,180578.418396599,908341.094757896,14486323.2512299,385592.069314297,3774324.21133698,2787085.06889772,858374.790516373,729144.10704862,728470.210544456,159883.784292352,8009.70536941931,0,0,-12804.2630097706,26450.7297867326,0,0,0,0,,0
"Air Force","No Comp.",1752429419.88685,2500433933.85962,2735168853.733,3331208156.23224,3214977277.69395,3580049701.11946,2306645140.51842,4140536387.89416,2380241507.82673,2597063194.24877,2448686955.20409,2172303889.98161,1420991679.18875,1959604261.79589,1268396309.31567,1461958406.28151,1470993796.48649,2021241340.94948,2533113053.60029,2324616294.80822,3311551036.92377,2772381196.0916
