"SimpleArea","SubCustomer","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Products","Army",808899533.367514,839329321.26623,1192781443.2828,1335825785.97966,1357413200.42491,1256159744.68146,946691146.225201,415312917.83137,324877396.037406,784092378.610786,712765599.102187,734482711.142365,766741600.779086,542126875.461041,316316069.801742,127082710.911059,417182630.612215,1151810468.0984,1234007506.70264,371748473.942014,920810098.577195,318569064.1105
"Products","Navy",1124847098.96662,1305453259.79639,1050060645.08223,2149579493.93213,810150253.489219,1406729347.67348,1592929850.51993,1491991011.19929,1902782561.79882,2076284282.65719,1670669910.8119,2719316659.68338,2623378191.0763,2724812432.12223,2940484674.44809,4051066594.24472,4997155019.26515,1815200491.38595,3527566209.86759,2794682892.77719,3468766849.0563,2382499650.8273
"Products","Air Force",2826482624.54416,3071214703.70546,3181128312.74051,3928614814.15052,4142956233.77039,4375032346.84804,2957986598.15455,4432087395.10866,2327078291.42056,1765768120.60752,1377053583.70727,1415578588.85138,832769212.523323,1484037836.6505,1690191313.77893,671985971.235151,523776733.123304,873047736.30277,782894029.926181,1050277828.92142,1549125616.15118,1070631227.7803
"Products","DLA",580052493.099398,716876324.648281,845345777.645995,768751158.758097,508006945.034313,728813858.168264,613786766.246025,477441799.816423,596569101.701724,1149398078.49321,1515377860.64723,1351855545.76039,1288003042.09761,1122483471.61953,972466175.54467,761150097.804571,935323444.787569,1162747976.91929,1532584829.38764,2037166086.46335,1861654135.72741,1074125989.3545
"Products","Total",5340281749.97769,5934185436.14167,6271541636.03478,8183290723.29597,6820454359.97553,7792834230.84028,6119444439.44182,6834216730.91581,5173589425.70199,5794450138.24362,5266958234.77732,6200961496.52565,5491199434.45931,5850923524.33874,5912398452.99688,5602411214.26321,6863270471.65114,4971602674.59785,7069985694.25729,6249781158.0253,7690146788.67973,4794172414.9101
"Services","Army",868216.382733881,3855711.75524026,124466.48232817,2437050.08917047,10259416.0385915,15933257.4890557,16803499.8730735,13787034.9851886,6386081.44957673,1346125.08059431,2152773.74546018,3260090.04930108,1656145.94631521,534436.102900234,2141616.4294265,222038.689836585,806956.675813025,152257.527175665,0,-90446.4916849722,NA,NA
"Services","Navy",50729.377302151,2514435.50710832,11824721.3022888,2714578.20090571,54521286.8429833,50532255.683845,67384733.8412385,66064663.5273227,35950863.4049756,49677587.7066834,51421635.2940277,51741358.7463239,40820555.8370591,51869758.597876,51208821.2605719,39011005.530421,6233499.30891529,8087956.54727646,4381932.26423275,4718337.11914373,285951.132377035,495809.0698
"Services","Air Force",138805623.789899,272269126.597322,107526666.922459,222725748.87289,296483013.901127,348663766.742213,309701909.185542,2258513.18815857,235364743.438675,31337281.9217329,37916528.0298002,28031536.7948184,34818041.4426382,103656252.13615,163897228.206051,271938387.185807,215669301.295781,423215460.527839,34747317.1497976,28781720.3515602,29179548.67352,138661668.9513
"Services","DLA",NA,NA,57534.0836880755,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2646539.77955828,1348196
"Services","Total",139951646.54077,278639273.85967,119533388.790764,227877377.162966,361263716.782702,415129279.915113,394107847.740264,82110287.797267,280152945.319953,80237979.5816627,88246635.7600101,81754322.9900545,77034436.4467464,155914780.436958,218292127.806226,311754867.464522,222165361.451389,430924565.094115,38743624.5463867,31362956.6192142,27927492.6570799,138015689.7671
"R&D","Army",222637799.843171,11998349.8324433,29178889.7473588,78925318.1577083,52863955.0094888,50461265.1117485,30497363.772327,7316492.50110839,9433661.59492967,49257216.1774967,65810379.4385932,70836320.1053497,35512988.0489757,46767698.53984,-76226.6628332295,-2927755.92345328,-26167262.0561243,198399.085826592,NA,145579392.630337,78655649.5980312,153876044.1152
"R&D","Navy",138974469.604607,266963777.167795,1159210666.69762,1481365149.57436,1246721292.54015,1651683702.06267,1375171622.29868,1514506440.8274,1421083343.94566,1129679952.94428,1027175427.39014,456469885.345214,522276412.965263,400668880.153476,186198134.545027,237726254.508201,136720987.68848,93008160.068087,64342894.7743481,11944404.7235362,3034818.99489957,14121260.6563
"R&D","Air Force",426208372.921848,805075772.228122,764358956.876217,471511541.892233,166681866.127213,171476370.026245,124949095.035329,183293694.357447,256119832.470407,295100821.559856,344705747.133357,141318697.714513,164849876.133899,287154765.684772,230074210.588508,228206001.776882,339801598.360564,109221429.016857,95555981.7753074,93217623.3392459,53298918.4657478,62128075.8996
"R&D","Total",787820642.369625,1084037899.22836,1952748513.32119,2031802009.6243,1466583469.67823,1873621337.20067,1530618081.10633,1705167790.62364,1686636838.011,1473986469.78496,1432632448.98866,668043709.907817,722571271.229486,734022052.333853,415242008.54902,454530305.146527,449884564.507411,201736964.999619,159227619.999831,250543858.142784,134911349.041047,230070564.0793
"Total","Army",1032405549.59342,855183382.853913,1222084799.51249,1417188154.22653,1420536571.47299,1322554267.28226,993992009.870602,436416445.317667,340697139.081913,834695719.868877,780728752.286241,808579121.297016,803910734.774377,589429010.103782,318381459.568335,124376993.677442,391822325.231903,1152161124.7114,1234007506.70264,517237420.080666,999465748.175226,472445108.2257
"Total","Navy",1263872297.94853,1574931472.47129,2221096033.08214,3633659221.7074,2111392832.87235,3108945305.42,3035486206.65985,3072562115.55401,3359816769.14945,3255641823.30815,2749266973.49607,3227527903.77492,3186475159.87862,3177351070.87358,3177891630.25369,4327803854.28334,5140109506.26254,1916296608.00132,3596291036.90617,2811345634.61987,3472087619.18357,2397116720.5534
"Total","Air Force",3391496621.25591,4148559602.5309,4053013936.53919,4622852104.91564,4606121113.79873,4895172483.61649,3392637602.37542,4617639602.65426,2818562867.32964,2092206224.08911,1759675858.87042,1584928823.36071,1032437130.09986,1874848854.47142,2084162752.57349,1172130360.19784,1079247632.77965,1405484625.84747,913197328.851286,1172277172.61223,1631604083.29044,1271420972.6312
"Total","DLA",580052493.099398,716876324.648281,845403311.729683,768751158.758097,508006945.034313,728813858.168264,613786766.246025,477441799.816423,596569101.701724,1149398078.49321,1515377860.64723,1351855545.76039,1288003042.09761,1122483471.61953,972466175.54467,761150097.804571,935323444.787569,1162747976.91929,1532584829.38764,2037166086.46335,1864300675.50697,1075474185.3545
"Total","Total",6268054038.88809,7296862609.2297,8343823538.14674,10442970110.0832,8648301546.43646,10081584847.9561,8044170368.28842,8621494809.33671,7140379209.03294,7348674587.61024,6787837319.526,6950759529.42352,6290805142.13555,6740860357.10956,6545932589.35213,6368696386.87426,7535320397.60994,5604264204.69159,7267956938.80351,6531687972.7873,7852985630.37786,5162258668.7565
