"Fiscal_Year","TopVendorsPretty","Action_Obligation_OMB23_GDP21",".group"
2000,"Pratt & Whitney",2005723449.75888,1
2000,"General Electric",2227419955.24544,1
2000,"Rolls Royce",332333498.812562,1
2000,"Honeywell",551360234.002996,1
2000,"Kelly Aviation Center (JV)",270659433.604412,1
2000,"All Other Vendors",3307779691.58709,1
2001,"Pratt & Whitney",2930495580.28953,2
2001,"General Electric",2315326022.52436,2
2001,"Rolls Royce",505849103.190679,2
2001,"Honeywell",517906320.623189,2
2001,"Kelly Aviation Center (JV)",299872038.401782,2
2001,"All Other Vendors",2332744981.77106,2
2002,"Pratt & Whitney",3663096001.46346,3
2002,"General Electric",1974295500.96942,3
2002,"Rolls Royce",385206349.234996,3
2002,"Honeywell",761661606.572021,3
2002,"Kelly Aviation Center (JV)",414204239.586068,3
2002,"All Other Vendors",2791396542.15321,3
2003,"Pratt & Whitney",4336265751.74021,4
2003,"General Electric",3680624311.79356,4
2003,"Rolls Royce",606854428.842846,4
2003,"Honeywell",575826595.963198,4
2003,"Kelly Aviation Center (JV)",408231457.31615,4
2003,"All Other Vendors",2451619907.09226,4
2004,"Pratt & Whitney",3548189959.33365,5
2004,"General Electric",2164480831.91748,5
2004,"Rolls Royce",527478522.43925,5
2004,"Honeywell",782098690.753562,5
2004,"Kelly Aviation Center (JV)",649765769.587801,5
2004,"All Other Vendors",2433154026.59601,5
2005,"Pratt & Whitney",4400150564.71902,6
2005,"General Electric",2645738507.82881,6
2005,"Rolls Royce",581438272.553228,6
2005,"Honeywell",613707282.438433,6
2005,"Kelly Aviation Center (JV)",561765640.285928,6
2005,"All Other Vendors",2788289513.76475,6
2006,"Pratt & Whitney",2702031946.72918,7
2006,"General Electric",2657162534.36994,7
2006,"Rolls Royce",450681209.845295,7
2006,"Honeywell",592672705.060481,7
2006,"Kelly Aviation Center (JV)",456149793.924704,7
2006,"All Other Vendors",2980712490.427,7
2007,"Pratt & Whitney",4734058839.50876,8
2007,"General Electric",2657051364.08369,8
2007,"Rolls Royce",479007620.152675,8
2007,"Honeywell",415999099.335896,8
2007,"Kelly Aviation Center (JV)",424693418.806722,8
2007,"All Other Vendors",2239883775.35942,8
2008,"Pratt & Whitney",3428862840.84761,9
2008,"General Electric",3012102442.49648,9
2008,"Rolls Royce",498009757.145375,9
