"Fiscal_Year","Shiny.VendorSize","Action_Obligation_OMB23_GDP21",".group"
2000,"Big Five",546928698.535089,1
2000,"Large",4957348842.52763,1
2000,"Medium",728867178.293651,1
2000,"Small",34909319.5317206,1
2001,"Big Five",512885697.332147,2
2001,"Large",5945352375.64705,2
2001,"Medium",809590115.890214,2
2001,"Small",29034420.3602875,2
2002,"Big Five",517919133.388898,3
2002,"Large",6830134730.22668,3
2002,"Medium",930143771.423355,3
2002,"Small",65625903.1078081,3
2003,"Big Five",169738875.602402,4
2003,"Large",9273399209.81214,4
2003,"Medium",937982466.852704,4
2003,"Small",61849557.8159975,4
2004,"Big Five",266545650.775917,5
2004,"Large",7538782111.33902,5
2004,"Medium",802113221.01819,5
2004,"Small",40677416.0729855,5
2005,"Big Five",173540997.766546,6
2005,"Large",8944896428.96142,6
2005,"Medium",938510134.208131,6
2005,"Small",24545656.5938552,6
2006,"Big Five",62487703.0170477,7
2006,"Large",7024544226.86504,7
2006,"Medium",906496988.548388,7
2006,"Small",47483384.3852705,7
2007,"Big Five",73139808.208039,8
2007,"Large",7904380349.61821,8
2007,"Medium",603630308.146385,8
2007,"Small",38227767.4832962,8
2008,"Big Five",184367860.688631,9
2008,"Large",6456304570.19113,9
2008,"Medium",483353516.546305,9
2008,"Small",15062273.4655652,9
2009,"Big Five",165558817.5209,10
2009,"Large",6696692451.4723,10
2009,"Medium",478309334.664156,10
2009,"Small",5898270.00937966,10
2010,"Big Five",205533057.034492,11
2010,"Large",5973360276.02643,11
2010,"Medium",594417171.602552,11
2010,"Small",11105207.7764309,11
2011,"Big Five",27747491.3866632,12
2011,"Large",6292440733.6622,12
2011,"Medium",626136119.581198,12
2011,"Small",3014152.12544116,12
2012,"Big Five",41793580.6949991,13
2012,"Large",5603112840.80133,13
2012,"Medium",641754452.147593,13
2012,"Small",4466158.19881228,13
2013,"Big Five",369677238.341798,14
2013,"Large",5701063995.95733,14
2013,"Medium",663523717.901396,14
2013,"Small",6899286.28485825,14
2014,"Big Five",344910911.762886,15
2014,"Large",5669698841.78943,15
2014,"Medium",526103480.637231,15
2014,"Small",5219355.16258079,15
2015,"Big Five",260357617.621794,16
2015,"Large",5656377175.75349,16
2015,"Medium",439494890.810495,16
2015,"Small",12391670.2830683,16
2016,"Big Five",144138023.335252,17
2016,"Large",6744441886.03619,17
2016,"Medium",564153111.333975,17
2016,"Small",82473939.6678118,17
2017,"Big Five",1096081831.58091,18
2017,"Large",3985391817.96623,18
2017,"Medium",509091679.653299,18
2017,"Small",13639105.8010385,18
2018,"Big Five",925225940.235257,19
2018,"Large",5663979554.50016,19
2018,"Medium",610301143.257323,19
2018,"Small",68450300.8107664,19
2019,"Big Five",520119022.524143,20
2019,"Large",5224218602.51849,20
2019,"Medium",771557602.392775,20
2019,"Small",15792745.3518893,20
2020,"Big Five",655836042.887015,21
2020,"Large",6760757208.09284,21
2020,"Medium",428284143.020365,21
2020,"Small",8108236.37764182,21
2021,"Big Five",276464663.7951,22
2021,"Large",4442765350.1395,22
2021,"Medium",438306405.6072,22
2021,"Small",4722249.2147,22
