"Fiscal_Year","SimpleArea","type","Action_Obligation_OMB23_GDP21","Action_Obligation_OMB23_GDP21.lagged","amount_change","Action_Obligation_OMB23_GDP21.2000","baseline_change","amount_percent_change","baseline_percent_change",".group"
1988,"Products","Topline",6261316.91258906,0,0,30078716038.7681,-30072454721.8555,NA,-0.999791835632062,1
1988,"R&D","Topline",1508690.21979129,0,0,8643494891.12004,-8641986200.90026,NA,-0.999825453680624,2
1989,"Products","Topline",1130041401.40836,6261316.91258906,631017871.150734,51076351955.3748,-49946310553.9664,100.780375751626,-0.97787544806654,3
1989,"R&D","Topline",196782288.105347,1508690.21979129,164950672.308001,15237861910.7107,-15041079622.6053,109.333692327388,-0.987085964601961,4
1990,"Products","Topline",134503039092.444,1130041401.40836,74254047547.8218,91081794136.4074,43421244956.0362,65.7091390238267,0.476728037339789,5
1990,"R&D","Topline",39599347886.2605,196782288.105347,17645815146.6104,26993630141.4431,12605717744.8174,89.671765261535,0.466988607266423,6
1991,"Products","Topline",138157365630.468,134503039092.444,3654326538.02416,91081794136.4074,47075571494.0604,0.0271691001384181,0.516849409263483,7
1991,"R&D","Topline",37438411994.2185,39599347886.2605,-2160935892.04201,26993630141.4431,10444781852.7754,-0.0545699868151559,0.386935058309911,8
1992,"Products","Topline",108737399522.453,138157365630.468,-29419966108.0148,91081794136.4074,17655605386.0456,-0.212945332112838,0.193843408042708,9
1992,"R&D","Topline",37217289643.3881,37438411994.2185,-221122350.830351,26993630141.4431,10223659501.9451,-0.00590629620894439,0.378743409032963,10
1993,"Products","Topline",105978521043.711,108737399522.453,-2758878478.7419,91081794136.4074,14896726907.3037,-0.0253719372622317,0.16355328799292,11
1993,"R&D","Topline",37194552187.0664,37217289643.3881,-22737456.3217563,26993630141.4431,10200922045.6233,-0.000610937995206637,0.377901082298744,12
1994,"Products","Topline",88965525502.9568,105978521043.711,-17286153016.992,91610335098.9792,-2645116859.88589,-0.163109966498422,-0.0288735638509346,13
1994,"R&D","Topline",36894358472.4661,37194552187.0664,-976525575.137157,29170270778.6203,7724087693.84579,-0.0262545323902763,0.26479314341871,14
