"Fiscal_Year","SubCustomer","type","Action_Obligation_OMB23_GDP21","Action_Obligation_OMB23_GDP21.lagged","amount_change","Action_Obligation_OMB23_GDP21.2000","baseline_change","amount_percent_change","baseline_percent_change"
1987,"Army","Topline",-372218.161452684,0,0,28986956137.807,-28987328355.9685,NA,-1.0000128408847
1988,"Army","Topline",-2104.17045995996,-372218.161452684,370113.990992724,28986956137.807,-28986958241.9775,-0.994346943062241,-1.00000007259025
1988,"Navy","Topline",15469166.8453739,0,0,62222736525.2979,-62207267358.4525,NA,-0.999751390444889
1989,"Army","Topline",652848560.278908,-2104.17045995996,129765525.526776,56620882464.0461,-55968033903.7672,-61670.6336278691,-0.988469827175628
1989,"Navy","Topline",2485099541.44402,15469166.8453739,2469630374.59865,62222771030.4979,-59737671489.0539,159.648570558744,-0.960061252491858
1990,"Air Force","Topline",80709461863.0873,0,0,58352469213.8231,22356992649.2642,NA,0.38313704544945
1990,"Army","Topline",44872622273.9865,652848560.278908,44219773713.7076,56620882464.0461,-11748260190.0596,67.7335854042722,-0.207489881450005
1990,"DLA","Topline",18073709370.4519,0,0,14727836081.5909,3345873288.86105,NA,0.227180236819938
1990,"Navy","Topline",86517582140.1722,2485099541.44402,84032482598.7282,62222771030.4979,24294811109.6743,33.8145338636614,0.390448877594448
1991,"Air Force","Topline",82132022171.5329,80709461863.0873,1422560308.44565,58352469213.8231,23779552957.7098,0.0176256943808996,0.407515796299442
1991,"Army","Topline",65693897684.9642,44872622273.9865,20821275410.9777,56578959074.0043,9114938610.95986,0.464008438906147,0.161101207235674
1991,"DLA","Topline",21996225413.4453,18073709370.4519,3922516042.99332,14727836081.5909,7268389331.85437,0.217028832465686,0.493513730841934
1991,"Navy","Topline",78959455767.7044,86517582140.1722,-7558126372.46783,62222736525.2979,16736719242.4065,-0.0873594266680092,0.268980764540979
1992,"Air Force","Topline",69853698087.4256,82132022171.5329,-12278324084.1074,58352469213.8231,11501228873.6024,-0.14949496870373,0.197099266381651
1992,"Army","Topline",56302106410.1939,65693897684.9642,-9391791274.77022,56578959074.0043,-276852663.810358,-0.14296291749667,-0.00489320885964409
1992,"DLA","Topline",12489439786.9469,21996225413.4453,-9506785626.49835,14727836081.5909,-2238396294.64398,-0.432200772987501,-0.151984058095396
1992,"Navy","Topline",73547955370.1389,78959455767.7044,-5411500397.5655,62222736525.2979,11325218844.841,-0.0685351785286606,0.182010941293727
1993,"Air Force","Topline",69338850056.0757,69853698087.4256,-514848031.349829,58352469213.8231,10986380842.2526,-0.0073703761639859,0.188276194482787
1993,"Army","Topline",53881955000.0699,56302106410.1939,-2420151410.124,56578959074.0043,-2697004073.93436,-0.0429850953087221,-0.0476679691191689
1993,"DLA","Topline",13929341760.8521,12489439786.9469,1439901973.90518,14727836081.5909,-798494320.7388,0.115289556494765,-0.0542166762527239
