"TopProject","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"AWACS RSIP (E-3) ",,,,,56340,,,,,,,,691275.01,172275068,77861864,99769119.375,35701488,245466279,45676684,76923937.25,14242513.4375,-7874331
"BJN",,,60619860,745363296,-14698000,353562528,391996160,0,0,-1282,,,,-2854.55,,,,,,,,
"BLACK HAWK (UH-60A/L) ",,,,,,,,60723410.4176,66892442.2261,121467555.883,155159135.7439,136678647.5605,94686634.8408,69947668.01,44637891.31,194683,-33688,-3728,-87221,-44177.7695,-51891,-22956
"BLACK HAWK UPGRADE (UH-60",,,,,1408490,3604069,5763648.2578,82330.0478,,0,,,,,197596,70775150.5738,83225230.9298,83755523.8954,157323933.9785,104772082.8285,256514359.9607,45893355.9528
"EA-18G ",,,,,211415,,,,,,,,,,,26674,361306.0469,206461560,109383784,393519834,-17800.8008,138383385.25
"F-100 Engine",744290330,968709664,767615563,808712143,,,,,,-184354,-39309.6904,-387465.0068,,,,,,,,,,
"F/A-18 E/F ",,,,,4343034,34081103,577205,341512240,346413026.4414,12287392,11099958,8383043,340612827,435487046.41,329030853.29,-1197770,121208608,11407579,0,,0,
"F/A-22 ",,,,,505278369,698782148,239812887,1120366840.625,500416186.75,466461539.1562,8658359.5,2773369.375,-618139.9141,375822.31,-6001.59,-1706749.5,-415324.5157,-1159656.625,-1411580.0469,,,580427
"H-1 UPGRADE ",,,,,29830,,,,,,,,56750000,561631522.46,464631278.23,671545078.9219,645874254.875,14086384.375,15342954.4278,-4680691.8886,-93789060.0156,-10166635.9844
"JSF (F-35) ",,,,249135,,,,,,,,,89226104,68241693,564360940.21,2200640753.2519,3181290341.3203,806135922.0019,2473388886.1603,1750812789.4875,2766658814.0812,1733779403.3594
"Other Labeled Project",2163009748,2513325941,2688282178,3191665932,53560105,528869090.5,308741884.5225,1050327608.713,431622996.4125,837324683.0696,567659719.8197,295021615.5423,133704422.7626,456240962.3003,610123829.5871,308109842.1526,142688369.6101,125346401.0026,141454698.4048,148802336.7356,121143824.2213,152259072.6689
"V22 ",,,,,204635,87724,,105177496,156375473,221815204,296186995.7344,358123862.5234,262552712.1094,184781709.13,264290775.56,193173171.0591,263025276.5112,266339787.375,170692152.3281,183997644.8972,166033321.3156,6510080.9473
"Unlabeled",566610053,480936077,736883843,965456297.0293,4336201001,4155831292.5389,3747295167.885,2710395362.2023,2719452415.8662,3061545822.7578,3329285682.5512,4463837543.5629,3775033452.3152,3186910784.3551,2917620985.118,1481638525.4454,1719105590.205,2803267320.8534,3522542865.9772,3313858464.3902,4261734538.9506,2734830612.7161
