CSIScontractID,idvpiid,piid,ContractNumber,idvmodificationnumber,modnumber,transactionnumber,CSIStransactionID,agencyID,contractingofficeagencyid,idvagencyid,CSISidvmodificationID,CSISidvpiidid,isIDV,CSISsourceIDVmodificationID,CSISmodifiedBy,CSISmodifiedDate,fiscal_year,last_modified_date,MaxOfCSISCreatedDate,IsInContractFPDS,IsNew6Dup,contract_transaction_unique_key,contract_award_unique_key,IsFPDSerror,ContractLabelID,ContractLabelText,TFBSOoriginated,TFBSOmentioned,IsPerformanceBasedLogistics,IsOrganicPBL,IsOfficialPBL,PrimaryProjectID,CrisisFunding,IsOddBlankIDVagencyID,IsOddBlankIDVPIID
10096772,FA865009D2923,0013,NULL,0,5,4,376558,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2012,2013-07-16 00:00:00.0000000,2017-01-04 00:31:24.650,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096762,FA865009D2923,0002,NULL,0,6,4,2137718,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2010,2013-07-16 00:00:00.0000000,2017-01-03 09:11:00.907,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096770,FA865009D2923,0011,NULL,0,5,4,2219479,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2011,2013-07-16 00:00:00.0000000,2017-01-03 16:05:25.103,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096762,FA865009D2923,0002,NULL,0,0,4,2914861,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2009,2013-07-16 00:00:00.0000000,2017-01-03 07:38:55.393,1,0,9700_9700_0002_0_FA865009D2923_4,CONT_AWD_0002_9700_FA865009D2923_9700,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096754,FA865009D2922,0007,NULL,0,0,4,3079968,9700,5700,9700,258678,270707,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2009,2018-02-02 00:00:00.0000000,2017-01-03 07:34:04.040,1,0,9700_9700_0007_0_FA865009D2922_4,CONT_AWD_0007_9700_FA865009D2922_9700,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096762,FA865009D2923,0002,NULL,0,5,4,3710755,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2010,2013-07-16 00:00:00.0000000,2017-01-03 09:05:29.633,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096774,FA865009D2923,0016,NULL,0,0,4,4379437,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2012,2013-07-16 00:00:00.0000000,2017-01-04 00:07:49.783,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096754,FA865009D2922,0007,NULL,0,3,4,4829068,9700,5700,9700,258678,270707,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2010,2010-08-10 00:00:00.0000000,2017-01-03 08:50:00.743,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096772,FA865009D2923,0013,NULL,0,3,4,5477861,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2011,2013-07-16 00:00:00.0000000,2017-01-03 15:59:21.823,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096770,FA865009D2923,0011,NULL,0,2,4,8517611,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2010,2013-07-16 00:00:00.0000000,2017-01-03 08:49:36.203,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096762,FA865009D2923,0002,NULL,0,13,4,8728253,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2012,2013-07-16 00:00:00.0000000,2017-01-03 23:49:12.220,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096754,FA865009D2922,0007,NULL,0,2,4,9330806,9700,5700,9700,258678,270707,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2010,2010-02-02 00:00:00.0000000,2017-01-03 09:05:03.163,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096762,FA865009D2923,0002,NULL,0,8,4,13493153,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2011,2013-07-16 00:00:00.0000000,2017-01-03 16:17:35.360,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096770,FA865009D2923,0011,NULL,0,7,4,13623973,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2012,2013-07-16 00:00:00.0000000,2017-01-04 00:13:08.733,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096762,FA865009D2923,0002,NULL,0,10,4,13949375,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2011,2013-07-16 00:00:00.0000000,2017-01-03 16:08:23.330,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096772,FA865009D2923,0013,NULL,0,7,4,14130081,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2012,2013-07-16 00:00:00.0000000,2017-01-03 23:55:00.077,1,0,NULL,NULL,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096770,FA865009D2923,0011,NULL,0,0,4,15624978,9700,5700,9700,284400,171543,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2009,2013-07-16 00:00:00.0000000,2017-01-03 07:44:00.343,1,0,9700_9700_0011_0_FA865009D2923_4,CONT_AWD_0011_9700_FA865009D2923_9700,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
10096754,FA865009D2922,0007,NULL,0,1,4,15844706,9700,5700,9700,258678,270707,0,NULL,CSIS\GSanders,2015-04-23 15:04:40.037,2009,2010-02-15 00:00:00.0000000,2017-01-03 07:29:41.120,1,0,9700_9700_0007_1_FA865009D2922_4,CONT_AWD_0007_9700_FA865009D2922_9700,NULL,1070,Advanced Engine Development,NULL,NULL,NULL,NULL,NULL,2260,NULL,0,0
