"ColorOfMoney","fundingrequestingagencyid","fundingrequestingofficeid","FundingMajorCommandCode","Action_Obligation_OMB23_GDP21"
"FMS","1700","M00146","USMC",-614.759999772539
"FMS","1700","N00019","NAVAIR",1578175434.28554
"FMS","1700","N00042",NA,260053.859434672
"FMS","1700","N00104","NAVSUP",12434.3014812628
"FMS","1700","N00140",NA,-12780.1916556176
"FMS","1700","N00164","NAVSEA",69040.469440084
"FMS","1700","N00167","NAVSEA",10980.3331049373
"FMS","1700","N00189","NAVSUP",32742.313677669
"FMS","1700","N00383","NAVSUP",36877968.7616269
"FMS","1700","N00421","NAVAIR",34395908.07003
"FMS","1700","N30763",NA,8754320.07050874
"FMS","1700","N57012","NAVSUP",1253145.33640921
"FMS","1700","N65883",NA,0
"FMS","1700","N65886",NA,88385.8165574692
"FMS","1700","N65916",NA,16349172.542924
"FMS","1700","N65965",NA,1262024.80519485
"FMS","1700","N68335","NAVAIR",31811993.5178423
"FMS","2100","AC0092",NA,-24754.445004332
"FMS","2100","AC0095",NA,-917940.250467983
"FMS","2100","W15GK8",NA,190198.734634805
"FMS","2100","W15P7V",NA,204400.550165922
"FMS","2100","W25P02",NA,214068.671990736
"FMS","2100","W31G3H",NA,539833.574395049
"FMS","2100","W31P4Q","AMC",-1094148.49642546
"FMS","2100","W56DRX",NA,49082.5943316565
"FMS","2100","W56HZV","AMC",7121816.61580793
"FMS","2100","W56RTN",NA,57402.1490660698
"FMS","2100","W58H0Z",NA,738253514.533038
"FMS","2100","W58RG0",NA,0
"FMS","2100","W58RGZ","AMC",-165962.236485845
"FMS","2100","W5J9D5",NA,1166548.24706838
"FMS","2100","W71B7J",NA,1333695.8766606
"FMS","2100","W8062F",NA,20190880.8347463
"FMS","2100","W80Q8H",NA,2796567.06713501
"FMS","2100","W80YU7",NA,69943593.4548929
"FMS","2100","W81YTA",NA,145786113.427962
"FMS","2100","W81YUF",NA,379555557.563698
"FMS","2100","W91KCB",NA,119011.274821269
"FMS","5700","EY9903",NA,-11531.8762606547
"FMS","5700","F2D0BR",NA,28505.1279323452
"FMS","5700","F2DCBF",NA,11359315.9367852
"FMS","5700","F2DCCW",NA,74118080.1385652
"FMS","5700","F3QCBS",NA,840947.963434721
"FMS","5700","F3QCCC",NA,34984124.2701665
"FMS","5700","F3QCCQ",NA,149636508.86566
"FMS","5700","F3QCCS",NA,111721.255129218
"FMS","5700","F3QCDA",NA,4004.85268470965
"FMS","5700","F3QCDK",NA,481266.484302955
"FMS","5700","F3QCGR",NA,2369308.09530253
"FMS","5700","F3QL09",NA,2158535.65079168
"FMS","5700","F3YCAB",NA,8516128.07468474
"FMS","5700","F3YCAH",NA,1325870.32124856
"FMS","5700","F3YCAP",NA,0
"FMS","5700","F3YCAX",NA,0
"FMS","5700","F3YCBJ",NA,1458517.20786094
"FMS","5700","F3YCBL",NA,807162866.606384
"FMS","5700","F3YCBP",NA,3582837.34443747
"FMS","5700","F3YCBS",NA,-11768.6096596456
"FMS","5700","F3YCBY",NA,3682241.02779428
"FMS","5700","F3YTBK",NA,205226612.751759
"FMS","5700","F4FDAC",NA,7549592.61559191
"FMS","5700","F4FDAF",NA,11779544.9756416
"FMS","5700","F4FDAG",NA,29029128.8419605
"FMS","5700","F4FDAM",NA,131013915.191035
"FMS","5700","F4FDAS",NA,210284154.885177
"FMS","5700","F4FDCJ",NA,194513166.551973
"FMS","5700","F4FTBS",NA,4788838.33773102
"FMS","5700","FA8100","AFMC",-16450.3326521338
"FMS","5700","FA8104",NA,-5266116.90938318
"FMS","5700","FA8108","AFMC",71842.5848033504
"FMS","5700","FA8117","AFMC",0
"FMS","5700","FA8121","AFMC",-43139990.1465657
"FMS","5700","FA8122","AFMC",-2189330.59211897
"FMS","5700","FA8124","AFMC",-5280983.82104127
"FMS","5700","FA8133",NA,-203215.32505381
"FMS","5700","FA8203","AFMC",0
"FMS","5700","FA8213","AFMC",673286.508676839
"FMS","5700","FA8251","AFMC",0
"FMS","5700","FA8504","AFMC",-86778.8179958583
"FMS","5700","FA8505","AFMC",673059.685987281
"FMS","5700","FA8552","AFMC",0
"FMS","5700","FA8553","AFMC",-30.7590218936805
"FMS","5700","FA8604","AFMC",3738447.62886033
