ProductOrServiceCode,ProductOrServiceName
2805,GAS RECIPROCATING ENG - EXCEPT AIR
2810,GAS RECIPROCATING ENG - AIRCRAFT
2815,DIESEL ENGINES AND COMPONENTS
2820,STEAM ENGINES RECIPROCATING & COMPS
2825,STEAM TURBINES AND COMPONENTS
2830,WATER TURBINES AND WATER WHEELS; AND COMPONENTS
2835,GAS TURBINES & JET ENG EXCEPT AIR
2840,GAS TURBINES & JET ENGINES AIRCRAFT
2845,ROCKET ENGINES AND COMPONENTS
2850,GASOLINE ROTARY ENGINES AND COMPONENTS
2895,MISC ENGINES & COMPONENTS
2910,ENGINE FUEL SYS COMPONENTS NONAIR
2915,ENGINE FUEL SYSTEM COMPONENTS AIR
2920,ENGINE ELECT SYS COMPS NONAIRCRAFT
2925,ENGINE ELECT SYS COMPS - AIRCRAFT
2930,ENGINE COOLING SYS COMPS - NONAIR
2935,ENGINE COOLING SYS COMPONENTS - AIR
2940,ENGINE AIR & OIL FILTERS - NONAIR
2945,ENGINE AIR & OIL FILTERS - AIR
2950,TURBOSUPERCHARGER AND COMPONENTS
2990,MISC ENGINE ACCESSORIES - NONAIR
2995,MISC ENGINE ACCESSORIES - AIRCRAFT
4470,NUCLEAR REACTORS
6105,"MOTORS, ELECTRICAL"
6110,ELECTRICAL CONTROL EQUIPMENT
6115,GENERATORS & GENERATOR SETS ELECT
6116,"FUEL CELL POWER UNITS, COMP, ACC"
6117,SOLAR ELECTRIC POWER SYSTEMS
6120,TRANSFORMERS - DISTRIB & POWER STA
6125,"CONVERTERS, ELECTRICAL, ROTATING"
6130,"CONVERTERS, ELECTRICAL, NONROTATING"
6135,"BATTERIES, NONRECHARGEABLE"
6140,"BATTERIES, RECHARGEABLE"
6620,ENGINE INSTRUMENTS
H128,QUALITY CONT SV/ENGINES & TURBINES
H129,QUALITY CONT SV/ENGINE ACCESSORIES
H228,EQ TEST SVCS/ENGINES & TURBINES
H229,EQ TEST SVCS/ENGINE ACCESSORIES
H328,INSPECT SVCS/ENGINES & TURBINES
H329,INSPECT SVCS/ENGINE ACCESSORIES
H928,OTHER QC SVCS/ENGINES & TURBINES
H929,OTHER QC SVCS/ENGINE ACCESSORIES
J028,MAINT-REP OF ENGINES & TURBINES
J029,MAINT-REP OF ENGINE ACCESSORIES
K028,MOD OF ENGINES & TURBINES
K029,MOD OF ENGINE ACCESSORIES
L028,TECH REP SVCS/ENGINES & TURBINES
L029,TECH REP SVCS/ENGINE ACCESSORIES
N028,INSTALL OF ENGINES & TURBINES
N029,INSTALL OF ENGINE ACCESSORIES
W028,"LEASE OR RENTAL OF EQUIPMENT- ENGINES, TURBINES, AND COMPONENTS"
W029,LEASE OR RENTAL OF EQUIPMENT- ENGINE ACCESSORIES
