EvaluatedPreference,ExtentCompetedCode,ExtentCompetedDescription,NontraditionalGovernmentContractorParticipationCode,NontraditionalGovernmentContractorParticipationDescription,SolicitationProcedures,TypeOfAgreement,CompletionDate,Date_Signed,EstimatedUltimateCompletionDate,Fiscal_Year,PeriodofPerformanceStartDate,ModificationNumber,PIID,PIIDAgencyID,ReferencedIDVAgencyID,ReferencedIDVModNumber,Referenced_IDV_PIID,InherentlyGovernmentalDescription,InherentlyGovernmentalFunction,TreasuryAccountSymbolAgencyIdentifier,TreasuryAccountSymbolInitiative,TreasuryAccountSymbolMainAccountCode,TreasuryAccountSymbolSubAccountCode,Contracting_Agency_ID,DepartmentID,DepartmentIDtext,ContractingOfficeID,ContractingOfficeName,ContractingOfficeRegion,MajorCommandCode,MajorCommandID,MajorCommandName,OrganizationID,ParentMacomCode,SubCommand1Code,SubCommand1ID,SubCommand1Name,SubCommand2Code,SubCommand2ID,SubCommand2Name,SubCommand3Code,SubCommand3ID,SubCommand3Name,SubCommand4Code,SubCommand4ID,SubCommand4Name,Funding_Agency_ID,Funding_Agency_Name,Funding_Department_ID,Funding_Department_Name,FundingOfficeID,FundingOfficeName,Granular,CongressionalDistrict-PlaceofPerformance,Place_of_Performance_Zip_Code,PrincipalPlaceofPerformanceCityName,PrincipalPlaceofPerformanceCountryCode,PrincipalPlaceofPerformanceCountryName,PrincipalPlaceofPerformanceCountyCode,PrincipalPlaceofPerformanceCountyName,PrincipalPlaceofPerformanceLocationCode,PrincipalPlaceofPerformanceLocationName,PrincipalPlaceofPerformanceStateCode,Description_of_Requirement,ProductOrServiceCode,ApprovedBy,ApprovedDate,contractactiontype,ClosedBy,ClosedStatus,ClosedStatusDate,CreatedVia,LastModifiedBy,LastModifiedDate,PreparedBy,PreparedDate,ReasonForModificationCode,ReasonForModificationDescription,CAGECode,ContractorName,CountryofIncorporation,DoingBusinessAsName,LegalBusinessName,UltimateParentLegalBusinessName,BLANK2(DEPRECATED),UltimateParentUniqueEntityID,BLANK1(DEPRECATED),UniqueEntityID,VendorAddressCity,VendorAddressCountry,VendorAddressLine1,VendorAddressLine2,VendorAddressLine3,VendorAddressState,VendorAddressZipCode,VendorCongressionalDistrict,VendorPhoneNumber,BaseandAllOptionsValue(TotalContractValue),BaseandExercisedOptionsValue,Action_Obligation_Then_Year,NonGovernmentDollars,NumberOfActions,NumberofRecords,ContractingAgencyName,Customer,SubCustomer,SubCustomer.sum,SubCustomer.platform,ProductOrServiceCodeText,SimpleArea,ProductOrServiceArea,ProductServiceOrRnDarea,CrisisProductOrServiceArea,Action_Obligation_OMB23_GDP21,dFYear,Engine
NA,C,NOT COMPETED,CS,COST SHARING,ONLY ONE SOURCE,PROTOTYPE,6/30/2013,7/3/2012,6/30/2013,2012,7/3/2012,0,HSTS0412HCT1184,7013,NA,0,,NA,NA,70,,0550,,7013,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,NO REGION IDENTIFIED,,,,~ORG-1183~ORG-2371~~~~~~,NA,,,,,,,,,,NA,NA,NA,7013,TRANSPORTATION SECURITY ADMINISTRATION,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,55094329111,10,441353130,CLEVELAND,USA,UNITED STATES,35,CUYAHOGA,NA,CLEVELAND,OH,OTHER TRANSACTION AGREEMENT TO PROVIDE DESIGN ENGINEERING SERVICES FUNDING TO CLEVELAND HOPKINS INTERNATIONAL AIRPORT FOR THE EVALUATION OF THE REMOVAL AND REPLACEMENT OF EXPLOSIVE DETECTION SYSTEMS.,C212,7013MASHURSTTSA,7/3/2012,OTHER TRANSACTION AGREEMENT,7013PAZIZI5,Y,1/20/2016,BS,7013MASHURSTTSA,7/3/2012,7013MASHURSTTSA,7/3/2012,,,,,,,"CLEVELAND, CITY OF",CITY OF CLEVELAND,NA,PTV3L9YMEHY6,NA,FAPSL5JABAJ4,CLEVELAND,UNITED STATES,5300 RIVERSIDE DR STE 15,,NA,OHIO,441353130,10,2162656000,"$360,964.83","$360,964.83",360964.83,$0.00,1,1,TRANSPORTATION SECURITY ADMINISTRATION,DHS,TSA,TSA,TSA,"ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM",Services,PAMS,PAMS,PAMS,417058.76465498534,2012-01-01,TRUE
NA,C,NOT COMPETED,CS,COST SHARING,ONLY ONE SOURCE,PROTOTYPE,6/30/2013,7/3/2012,6/30/2013,2012,7/3/2012,0,HSTS0412HCT1203,7013,NA,0,,NA,NA,70,,0550,,7013,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,NO REGION IDENTIFIED,,,,~ORG-1183~ORG-2371~~~~~~,NA,,,,,,,,,,NA,NA,NA,7013,TRANSPORTATION SECURITY ADMINISTRATION,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,55111447111,01,031036450,MANCHESTER,USA,UNITED STATES,11,HILLSBOROUGH,NA,MANCHESTER,NH,OTHER TRANSACTION AGREEMENT FUNDING WITH THE CITY OF MANCHESTER TO PROVIDE DESIGN AND ENGINEERING SERVICES TO EVALUATE THE REMOVAL AND REPLACEMENT OF EXPLOSIVE DETECTION EQUIPMENT AT MANCHESTER BOSTON REGIONAL AIRPORT.,C212,7013MASHURSTTSA,7/3/2012,OTHER TRANSACTION AGREEMENT,,N,,BS,7013MASHURSTTSA,7/3/2012,7013MASHURSTTSA,7/3/2012,,,,,,,CITY OF MANCHESTER NH,CITY OF MANCHESTER,NA,Z93ZBNUC43X8,NA,L678RJK6JE86,MANCHESTER,UNITED STATES,1 AIRPORT RD STE 300,,NA,NEW HAMPSHIRE,031037450,01,6036246539,"$505,350.77","$505,350.77",505350.77,$0.00,1,1,TRANSPORTATION SECURITY ADMINISTRATION,DHS,TSA,TSA,TSA,"ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM",Services,PAMS,PAMS,PAMS,583882.2797601795,2012-01-01,TRUE
NA,C,NOT COMPETED,CS,COST SHARING,ONLY ONE SOURCE,PROTOTYPE,6/30/2013,7/19/2012,6/30/2013,2012,7/19/2012,0,HSTS0412HCT1189,7013,NA,0,,NA,NA,70,,0550,,7013,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,NO REGION IDENTIFIED,,,,~ORG-1183~ORG-2371~~~~~~,NA,,,,,,,,,,NA,NA,NA,7013,TRANSPORTATION SECURITY ADMINISTRATION,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,55108932111,01,802496203,DENVER,USA,UNITED STATES,31,DENVER,NA,DENVER,CO,THIS IS AN OTHER TRANSACTION AGREEMENT TO PROVIDE DESIGN ENGINEERING SERVICES FUNDING TO DENVER INTERNATIONAL AIRPORT FOR THE EVALUATION OF THE REMOVAL AND REPLACEMENT OF EXPLOSIVE DETECTION SYSTEMS.,C212,7013WMELANSON,7/24/2012,OTHER TRANSACTION AGREEMENT,,N,,BS,7013WMELANSON,7/24/2012,7013TLIMBACHERTSA,7/23/2012,,,,,,,"DENVER, CITY & COUNTY OF",CITY & COUNTY OF DENVER,NA,T15SJL2DFL33,NA,JXF7J4DK2MW2,DENVER,UNITED STATES,8500 PENA BLVD STE 10810,,NA,COLORADO,802496205,01,3033422424,"$476,280.00","$476,280.00",476280,$0.00,1,1,TRANSPORTATION SECURITY ADMINISTRATION,DHS,TSA,TSA,TSA,"ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM",Services,PAMS,PAMS,PAMS,550293.9120963014,2012-01-01,TRUE
NA,C,NOT COMPETED,CS,COST SHARING,ONLY ONE SOURCE,PROTOTYPE,6/30/2013,7/27/2012,6/30/2013,2012,7/27/2012,0,HSTS0412HCT1204,7013,NA,0,,NA,NA,70,,0550,,7013,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,NO REGION IDENTIFIED,,,,~ORG-1183~ORG-2371~~~~~~,NA,,,,,,,,,,NA,NA,NA,7013,TRANSPORTATION SECURITY ADMINISTRATION,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,55112864111,25,787192510,AUSTIN,USA,UNITED STATES,453,TRAVIS,NA,AUSTIN,TX,OTHER TRANSACTION AGREEMENT PROVIDES FUNDING TO THE CITY OF AUSTIN AVIATION DEPARTMENT TO PROVIDE DESIGN AND ENGINEERING SERVICES TO EVALUATE THE REMOVAL AND REPLACEMENT OF EXPLOSIVE DETECTION SYSTEMS AT AUSTIN-BERGSTROM INTERNATIONAL AIRPORT.,C212,7013MASHURSTTSA,8/2/2012,OTHER TRANSACTION AGREEMENT,,N,,BS,7013MASHURSTTSA,8/2/2012,7013TLIMBACHERTSA,8/2/2012,,,,,,,"AUSTIN, CITY OF",CITY OF AUSTIN,NA,J3H8J7BZLAK6,NA,ZXJKJPUUKN92,AUSTIN,UNITED STATES,3600 PRESIDENTIAL BLVD STE 411,,NA,TEXAS,787192510,25,5125306688,"$216,578.90","$216,578.90",216578.9,$0.00,1,1,TRANSPORTATION SECURITY ADMINISTRATION,DHS,TSA,TSA,TSA,"ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM",Services,PAMS,PAMS,PAMS,250235.26110379116,2012-01-01,TRUE
NA,C,NOT COMPETED,CS,COST SHARING,ONLY ONE SOURCE,PROTOTYPE,7/31/2013,7/27/2012,7/31/2013,2012,7/27/2012,0,HSTS0412HCT1185,7013,NA,0,,NA,NA,70,,0550,,7013,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,NO REGION IDENTIFIED,,,,~ORG-1183~ORG-2371~~~~~~,NA,,,,,,,,,,NA,NA,NA,7013,TRANSPORTATION SECURITY ADMINISTRATION,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,55098064111,15,482425026,DETROIT,USA,UNITED STATES,163,WAYNE,NA,DETROIT,MI,THIS OTHER TRANSACTION AGREEMENT WITH  WAYNE COUNTY AIRPORT AUTHORITY PROVIDES FUNDING FOR DESIGN AND ENGINEERING SERVICES TO EVALUATE THE REMOVAL AND REPLACEMENT OF EXPOSIVE DETECTION EQUIPMENT AT DETROIT METROPOLITAN WAYNE COUNTY AIRPORT (DTW).,C212,7013MASHURSTTSA,8/2/2012,OTHER TRANSACTION AGREEMENT,,N,,BS,7013MASHURSTTSA,8/2/2012,7013TLIMBACHERTSA,8/2/2012,,,,,,,WAYNE COUNTY AIRPORT AUTHORITY,WAYNE COUNTY AIRPORT AUTHORITY,NA,KSVYNJAQFT66,NA,KSVYNJAQFT66,DETROIT,UNITED STATES,SMITH TERMINAL - MEZZANINE LEVEL,,NA,MICHIGAN,482425026,15,7342477907,"$433,157.80","$433,157.80",433157.8,$0.00,1,1,TRANSPORTATION SECURITY ADMINISTRATION,DHS,TSA,TSA,TSA,"ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM",Services,PAMS,PAMS,PAMS,500470.5222075823,2012-01-01,TRUE
NA,C,NOT COMPETED,CS,COST SHARING,ONLY ONE SOURCE,PROTOTYPE,7/31/2013,8/1/2012,7/31/2013,2012,8/1/2012,0,HSTS0412HCT1209,7013,NA,0,,NA,NA,70,,0550,,7013,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,NO REGION IDENTIFIED,,,,~ORG-1183~ORG-2371~~~~~~,NA,,,,,,,,,,NA,NA,NA,7013,TRANSPORTATION SECURITY ADMINISTRATION,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,55099327111,04,322189411,JACKSONVILLE,USA,UNITED STATES,31,DUVAL,NA,JACKSONVILLE,FL,THIS OTHER TRANSACTION AGREEMENT PROVIDES FUNDING TO THE JACKSONVILLE AVIATION AUTHORITY TO PROVIDE DESIGN AND ENGINEERING SERVICES TO EVALUATE THE REMOVAL AND REPLACEMENT OF EXPLOSIVE DETECTION EQUIPMENT AT JACKSONVILLE INTERNATIONAL AIRPORT (JAX).,C212,7013MASHURSTTSA,8/2/2012,OTHER TRANSACTION AGREEMENT,,N,,BS,7013MASHURSTTSA,8/2/2012,7013TLIMBACHERTSA,8/2/2012,,,,,,,JACKSONVILLE AVIATION AUTHORITY,JACKSONVILLE AVIATION AUTHORITY,NA,DRAHXMKV2ZF4,NA,DRAHXMKV2ZF4,JACKSONVILLE,UNITED STATES,2400 YANKEE CLIPPER DR,,NA,FLORIDA,322182492,04,9047413760,"$630,461.00","$630,461.00",630461,$0.00,1,1,TRANSPORTATION SECURITY ADMINISTRATION,DHS,TSA,TSA,TSA,"ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM",Services,PAMS,PAMS,PAMS,728434.639527476,2012-01-01,TRUE
NA,C,NOT COMPETED,CS,COST SHARING,ONLY ONE SOURCE,PROTOTYPE,9/1/2013,2/15/2013,9/1/2013,2013,2/15/2013,0,HSTS0413HCT1038,7013,NA,0,,NA,NA,70,,5385,,7013,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,NO REGION IDENTIFIED,,,,~ORG-1183~ORG-2371~~~~~~,NA,,,,,,,,,,NA,NA,NA,7013,TRANSPORTATION SECURITY ADMINISTRATION,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,55748740111,19,339138209,FORT MYERS,USA,UNITED STATES,71,LEE,NA,FORT MYERS,FL,RECAPITALIZATION AND OPTIMIZATION DESIGN ENGINEERING PROJECT TO REPLACE EXPLOSIVE DETECTION SYSTEMS AT RSW.,C212,7013MASHURSTTSA,8/27/2013,OTHER TRANSACTION AGREEMENT,,N,,WP,7013MASHURSTTSA,10/21/2013,7013JASMCDONALDTSA,8/20/2013,,,,,,,"LEE, COUNTY OF",COUNTY OF LEE,NA,SS8JCN35XH77,NA,DEMFQH4TSDC5,FORT MYERS,UNITED STATES,11000 TERMINAL ACCESS RD,,NA,FLORIDA,339138873,14,2395904611,"$505,000.00","$505,000.00",505000,$0.00,1,1,TRANSPORTATION SECURITY ADMINISTRATION,DHS,TSA,TSA,TSA,"ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM",Services,PAMS,PAMS,PAMS,575307.6317151358,2013-01-01,TRUE
NA,C,NOT COMPETED,CS,COST SHARING,ONLY ONE SOURCE,PROTOTYPE,9/5/2013,9/6/2012,9/5/2013,2012,9/6/2012,0,HSTS0412HCT1197,7013,NA,0,,NA,NA,70,,0550,,7013,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,NO REGION IDENTIFIED,,,,~ORG-1183~ORG-2371~~~~~~,NA,,,,,,,,,,NA,NA,NA,7013,TRANSPORTATION SECURITY ADMINISTRATION,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,55096480111,11,336075923,TAMPA,USA,UNITED STATES,57,HILLSBOROUGH,NA,TAMPA,FL,OTHER TRANSACTION AGREEMENT PROVIDES FUNDING TO HILLSBOROUGH COUNTY AVIATION AUTHORITY FOR ARCHITECT AND ENGINEERING SERVICES AT TAMPA INTERNATIONAL AIRPORT TO DEVELOP DESIGNS TO REPLACE EXPLOSIVE DETECTION SYSTEM EQUIPMENT.,C212,7013KTOSCANO,9/17/2012,OTHER TRANSACTION AGREEMENT,7013PAZIZI5,Y,11/16/2015,BS,7013KTOSCANO,9/17/2012,7013KTOSCANO,9/17/2012,,,,,,,HILLSBOROUGH COUNTY AVIATION AUTHORITY,HILLSBOROUGH COUNTY AVIATION AUTHORITY,NA,HU5MVK2S6C73,NA,HU5MVK2S6C73,TAMPA,UNITED STATES,4100 GEORGE J BEAN PKWY STE 3311,,NA,FLORIDA,336075923,11,8138016007,"$866,315.00","$866,315.00",866315,$0.00,1,1,TRANSPORTATION SECURITY ADMINISTRATION,DHS,TSA,TSA,TSA,"ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM",Services,PAMS,PAMS,PAMS,1000940.3511751646,2012-01-01,TRUE
NA,C,NOT COMPETED,CS,COST SHARING,ONLY ONE SOURCE,PROTOTYPE,9/26/2018,9/26/2013,9/26/2018,2013,9/26/2013,0,HSTS0413HCT1140,7013,NA,0,,NA,NA,70,,5385,,7013,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,NO REGION IDENTIFIED,,,,~ORG-1183~ORG-2371~~~~~~,NA,,,,,,,,,,NA,NA,NA,7013,TRANSPORTATION SECURITY ADMINISTRATION,7000,"HOMELAND SECURITY, DEPARTMENT OF",00020,OFFICE OF ACQUISITION,56067941111,12,941342336,SAN FRANCISCO,USA,UNITED STATES,75,SAN FRANCISCO,NA,SAN FRANCISCO,CA,"OTHER TRANSACTION AGREEMENT HSTS04-13-H-CT1140 WILL FUND THE ENGINEERING, DESIGN, AND CONSTRUCTION RELATED COSTS FOR THE RECAPITALIZATION AND OPTIMIZATION EFFORT AT SAN FRANCISCO INTERNATIONAL AIRPORT (SFO).",C1BE,7013KTOSCANO,9/26/2013,OTHER TRANSACTION AGREEMENT,,N,,BS,7013KTOSCANO,9/26/2013,7013TLIMBACHERTSA,9/26/2013,,,,,,,"SAN FRANCISCO, CITY & COUNTY OF",CITY & COUNTY OF SAN FRANCISCO,NA,LYCMERUN3Z73,NA,LYCMERUN3Z73,SAN FRANCISCO,UNITED STATES,1 CARLTON B GOODLETT PL STE 234,,NA,CALIFORNIA,941024603,12,6508212888,"$59,429,406.00","$59,429,406.00",59429406,$0.00,1,1,TRANSPORTATION SECURITY ADMINISTRATION,DHS,TSA,TSA,TSA,ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS,Services,PAMS,PAMS,PAMS,67703348.15860847,2013-01-01,TRUE
NA,C,NOT COMPETED,CS,COST SHARING,ONLY ONE SOURCE,PROTOTYPE,12/7/2020,4/8/2019,12/7/2020,2019,3/27/2019,P00002,W52P1J1893000,9700,NA,0,,NA,NA,97,,0400,,2100,9700,DEPT OF DEFENSE,W52P1J,W4MM USA JOINT MUNITIONS CMD,NO REGION IDENTIFIED,AMC,ORG-2877,AMC,~ORG-1144~ORG-2398~ORG-2877~ORG-4323~ORG-5722~ORG-5726~~,NA,ACC,ORG-4323,ACC,ACC-CTRS,ORG-5722,ACC-CTRS,ACC RI,ORG-5726,ACC RI,NA,NA,NA,2100,DEPT OF THE ARMY,9700,DEPT OF DEFENSE,W912F1,W6JR ECBC ROCK ISLAND,82136319111,04,395815232,PASCAGOULA,USA,UNITED STATES,59,JACKSON,NA,PASCAGOULA,MS,"CHANGE THE MILESTONE DATES FOR CLINS 0002, 0003, 0004, 0005, AND 0007",6115,JAYNE.BROWN@SU.ROCK-CC,4/24/2019,OTHER TRANSACTION AGREEMENT,,N,,WP,JAYNE.BROWN@SU.ROCK-CC,4/24/2019,JAYNE.BROWN@SU.ROCK-CC,4/24/2019,M,OTHER ADMINISTRATIVE ACTION,07309,,USA,,ROLLS-ROYCE MARINE NORTH AMERICA INC.,ROLLS-ROYCE MARINE NORTH AMERICA INC.,NA,VE65QFAKCLG7,NA,HLVBPCA2LH41,WALPOLE,UNITED STATES,110 NORFOLK ST,,NA,MASSACHUSETTS,020811704,08,5087341374,$0.00,$0.00,0,$0.00,1,1,DEPT OF THE ARMY,Defense,Army,Army,Army,GENERATORS & GENERATOR SETS ELECT,Products,Engines & Power Plants,Engines & Power Plants,Engines & Power Plants,0,2019-01-01,NA
