"","AllContractor","NumberOfActions","Action_Obligation_OMB23_GDP21","MinOfFiscalYear","MaxOfFiscalYear","pos"
"1","UNITED TECH",25144,64580400559.5562,2000,2021,1
"2","GENERAL ELECTRIC",29256,43255607290.6947,2000,2021,2
"3","ROLLS ROYCE",9158,9473798761.55986,2000,2021,3
"4","HONEYWELL",17809,4648306239.82199,2000,2021,4
"5","CFM INTERNATIONAL",3877,3097701286.36818,2000,2021,5
"6","TEXTRON",7273,3026045883.47604,2000,2021,6
"7","KELLY AVIATION CENTER [Joint Venture Lockheed Martin/Rolls Royce]",565,2883187034.0098,2000,2017,7
"8","GE ROLLS-ROYCE FIGHTER ENGINE TEAM [GE/ROLLS ROYCE]",117,2843057649.76138,2004,2014,8
"9","BOEING",5574,2448313276.58931,2000,2021,9
"10","LOCKHEED MARTIN",3294,2420693766.08066,2000,2021,10
"11","NORTHROP GRUMMAN",2168,1449021263.58266,2000,2021,11
"12","L3 COMMUNICATIONS",680,1324569909.39495,2000,2021,12
"13","URS",536,843706837.562813,2000,2018,13
"14","PARKER HANNIFIN",5380,695946763.030676,2000,2021,14
"15","GOODRICH",2334,648487390.134945,2000,2021,15
"16","WOODWARD GOVERNOR",3281,638568462.578387,2000,2021,16
"17","LONGBOW [LOCKHEED MARTIN/NORTHROP GRUMMAN]",31,565940113.993777,2000,2021,17
"18","CANADIAN COMMERCIAL CORPORATION",2001,553051981.952016,2000,2021,18
"19","GENERAL ATOMICS",120,512930975.765464,2004,2021,19
"20","053489188",840,446596283.637855,2000,2021,20
"21","COLT INDUSTRIES",1442,304279942.78658,2000,2021,21
"22","067655985",149,268041837.109168,2000,2021,22
"23","193823408",164,265561367.348983,2003,2021,23
"24","BAE SYSTEMS",1374,262260137.702081,2000,2021,24
"25","RAYTHEON",439,260797291.079545,2001,2021,25
"26","879940666",147,254417040.742651,2000,2015,26
"27","JOINT VENTURE [Boeing/UTC]",2,226872027.241196,2000,2000,27
"28","012895066",1291,216403771.72256,2000,2021,28
"29","UNISON INDUSTRIES LLC [SLICK AIRCRAFT PRODUCTS]",1707,215730688.643798,2000,2021,29
"30","004475216",1069,200027292.04656,2000,2020,30
"31","AAR",1754,188558777.751576,2000,2021,31
"32","001447762",922,183981892.448208,2000,2021,32
"33","122607435",23,172836970.23034,2000,2003,33
"34","COMPUTER SCIENCES",181,171366596.454838,2004,2015,34
"35","STANDARD AERO",201,170135600.94168,2008,2021,35
"36","801849758",44,168556659.197473,2016,2021,36
"37","ROBERTSON FUEL SYSTEMS",126,167078887.399297,2000,2014,37
"38","807445499",2401,162346499.021917,2000,2021,38
"39","006401970",336,161011706.690639,2000,2021,39
"40","787814909",415,141712471.485364,2006,2021,40
"41","884812025",408,130703884.570946,2000,2021,41
"42","006033583",155,129964988.606947,2000,2011,42
"43","001288810",397,122689635.472063,2000,2021,43
"44","DYNCORP INTERNATIONAL",92,122253202.324465,2002,2021,44
"45","BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING]",4595,121530616.235713,2004,2021,45
"46","002042067",232,113439759.23522,2000,2021,46
"47","070458062",955,112675708.282498,2000,2021,47
"48","MEGGITT CORP USA",925,109526684.889409,2000,2021,48
"49","BBA AVIATION PLC",1355,107899177.966701,2000,2021,49
"50","360301837",20,107868995.717026,2004,2010,50
"51","M1 SUPPORT SERVICES",289,107663262.67014,2006,2019,51
"52","799987615",58,107322217.39803,2000,2002,52
"53","056100274",450,106579444.501667,2000,2021,53
"54","185050945",801,104987264.873828,2000,2021,54
"55","MOOG CLASS A",767,104090735.804191,2000,2021,55
"56","078792471",287,101203740.177039,2013,2021,56
"57","COLTEC INDUSTRIES",171,99080414.5218533,2000,2015,57
"58","001004332",1396,97418105.2175067,2000,2021,58
