 Engine, Delta TOA,NAVAIR Technical Scale,New Centerline Design (Yes=1/ No=0),Advanced Technology (Yes=1/ No=0),Series Order,New Engine (Yes=1/ No=0),Simple Derivative (Yes=1/ No=0),SOA (RIT),SOA (Thrust- to- Weight),Service
TF39A-1,9416.21,7,1,1,1,1,0,1.03556,0.79569,AF
SPEY 202,8381.66,8,0,0,1,0,0,0.94478,0.85192,N/A
TF41A-1,9356.87,2.1,0,0,2,0,1,0.96534,0.76073,AF
TF41A-2,9106.86,1.1,0,0,3,0,1,0.93853,0.724,N
TF41A-402,2536.64,1,0,0,4,0,1,0.78252,N/A,N
F100PW-100,11366.5,8,1,1,1,1,0,1.0237,1.1547,AF
F100-PW-220,7347.95,1,0,0,2,0,1,0.95209,0.86498,AF
F100PW-229,7242.89,2,0,1,3,1,0,0.98581,0.97194,AF
F101GE-100,9470.89,8,1,1,2,1,0,0.97499,1.03923,AF
F109GA-100,5323.62,8,1,0,1,1,0,0.72359,0.39632,AF
F110GE-100,5313.41,6,0,0,2,0,1,0.88069,0.84686,AF
F110GE-400,N/A,1,0,0,3,0,1,N/A,0.70623,N
F110GE-129,4603.42,2,0,0,4,0,1,0.89698,0.84432,AF
F117PW-100,3328.22,2,0,0,2,0,0,0.87068,0.64497,AF
F119PW-100,N/A,8,1,1,2,1,0,N/A,N/A,AF
F120GE-100,N/A,8,1,1,2,1,0,N/A,N/A,AF
Pegasus 5,9364.65,8,0,0,1,1,0,1.02579,0.89632,N/A
Pegasus 6,9233.23,4,0,1,2,1,0,0.96668,0.88059,N/A
F402RR-401,8669.8,3,0,0,3,0,1,0.9186,0.83891,N
F402RR-406,N/A,5,0,0,4,0,1,N/A,N/A,USMC
F402RR-408,N/A,5,0,0,5,0,1,N/A,N/A,USMC
F404GE-400,9071.73,7,1,0,2,1,0,0.92657,0.99341,N
F404GE- 400D,N/A,1,0,0,4,0,1,N/A,0.68594,N
F404GE- RM12,6536.52,6,0,0,3,0,1,0.91966,0.94109,N/A
F414GE-400,5347.38,8,0,1,1,1,0,0.99556,N/A,N
JT8D-9,7895.13,2,0,0,1,1,0,0.92603,N/A,AF
JT9D-3,8407.6,7,1,1,1,1,0,0.97674,N/A,C
JT9D-7,8281.93,3,0,0,2,0,1,0.97459,N/A,C
F105PW-100,8715.91,1.1,0,0,3,0,0,0.9974,0.83141,AF
JT9D-59A,7397.27,5,0,0,4,0,1,0.94406,N/A,C
JT9D-7Q,5911.53,2.1,0,0,5,0,1,0.90872,N/A,C
JT9D-7R4D,4595.92,2,0,0,6,0,1,0.86999,N/A,C
